run_number,format,original_size,compressed_size,compression_ratio,compression_time_ms,compression_speed_mbps
35,ZIP,630262450,630377934,1.0001832316045483,16668,36.060903402186476
36,ZIP,630262450,630377934,1.0001832316045483,16685,36.02246378826898
37,ZIP,630262450,630377934,1.0001832316045483,16609,36.18844886535888
38,ZIP,630262450,630377934,1.0001832316045483,16650,36.099388221140366
39,ZIP,630262450,630377934,1.0001832316045483,16828,35.71665329380039
40,ZIP,630262450,630377934,1.0001832316045483,16696,35.99871675400116
41,ZIP,630262450,630377934,1.0001832316045483,16748,35.88869747004215
42,ZIP,630262450,630377934,1.0001832316045483,16641,36.11771785283504
43,ZIP,630262450,630377934,1.0001832316045483,16848,35.673865552343536
44,ZIP,630262450,630377934,1.0001832316045483,16850,35.67150647755556
45,ZIP,630262450,630377934,1.0001832316045483,16736,35.913723261441184
46,ZIP,630262450,630377934,1.0001832316045483,16694,36.00359073398781
47,ZIP,630262450,630377934,1.0001832316045483,16729,35.927674514610686
48,ZIP,630262450,630377934,1.0001832316045483,16497,36.43305514798315
49,ZIP,630262450,630377934,1.0001832316045483,17139,35.06804403664618
50,ZIP,630262450,630377934,1.0001832316045483,16608,36.19124075777884
51,ZIP,630262450,630377934,1.0001832316045483,16908,35.547641661460716
52,ZIP,630262450,630377934,1.0001832316045483,16835,35.702384165468345
53,ZIP,630262450,630377934,1.0001832316045483,16783,35.81303296927998
54,ZIP,630262450,630377934,1.0001832316045483,16881,35.60500200079669
55,ZIP,630262450,630377934,1.0001832316045483,16677,36.04086433224721
56,ZIP,630262450,630377934,1.0001832316045483,16785,35.80826026296731
57,ZIP,630262450,630377934,1.0001832316045483,16859,35.65091019494946
58,ZIP,630262450,630377934,1.0001832316045483,16901,35.56290699099831
59,ZIP,630262450,630377934,1.0001832316045483,16804,35.76757487843008
60,ZIP,630262450,630377934,1.0001832316045483,16550,36.317940307825154
61,ZIP,630262450,630377934,1.0001832316045483,16502,36.42184652057345
62,ZIP,630262450,630377934,1.0001832316045483,16736,35.91314267894444
63,ZIP,630262450,630377934,1.0001832316045483,16573,36.26591576119145
64,ZIP,630262450,630377934,1.0001832316045483,16715,35.95788796600435
65,ZIP,630262450,630377934,1.0001832316045483,16536,36.34836837093388
66,ZIP,630262450,630377934,1.0001832316045483,16665,36.06557576787307
67,ZIP,630262450,630377934,1.0001832316045483,16655,36.08769990582077
68,ZIP,630262450,630377934,1.0001832316045483,16753,35.87666241415151
69,ZIP,630262450,630377934,1.0001832316045483,16679,36.035513322917815
70,ZIP,630262450,630377934,1.0001832316045483,16587,36.23675172186005
71,ZIP,630262450,630377934,1.0001832316045483,16533,36.35410372796822
72,ZIP,630262450,630377934,1.0001832316045483,16622,36.15884712995038
73,ZIP,630262450,630377934,1.0001832316045483,16671,36.05317245546946
74,ZIP,630262450,630377934,1.0001832316045483,16695,36.00198188334152
75,ZIP,630262450,630377934,1.0001832316045483,16668,36.060203058140935
76,ZIP,630262450,630377934,1.0001832316045483,16578,36.254752293318376
77,ZIP,630262450,630377934,1.0001832316045483,16712,35.96582719134016
78,ZIP,630262450,630377934,1.0001832316045483,16909,35.54555719079081
79,ZIP,630262450,630377934,1.0001832316045483,16680,36.033080749544794
80,ZIP,630262450,630377934,1.0001832316045483,16686,36.02032676479824
81,ZIP,630262450,630377934,1.0001832316045483,16575,36.261399289018655
82,ZIP,630262450,630377934,1.0001832316045483,16618,36.16829844311425
83,ZIP,630262450,630377934,1.0001832316045483,16647,36.10614194252726
84,ZIP,630262450,630377934,1.0001832316045483,16564,36.28590878209192
85,ZIP,630262450,630377934,1.0001832316045483,16601,36.206293032917856
86,ZIP,630262450,630377934,1.0001832316045483,16785,35.80818438287201
87,ZIP,630262450,630377934,1.0001832316045483,17255,34.83284176758357
88,ZIP,630262450,630377934,1.0001832316045483,16575,36.263075049334894
89,ZIP,630262450,630377934,1.0001832316045483,15351,39.15387842412389
90,ZIP,630262450,630377934,1.0001832316045483,15566,38.61380549590207
91,ZIP,630262450,630377934,1.0001832316045483,15694,38.296639485615174
92,ZIP,630262450,630377934,1.0001832316045483,15583,38.569925218581076
93,ZIP,630262450,630377934,1.0001832316045483,15643,38.42385109040337
94,ZIP,630262450,630377934,1.0001832316045483,15638,38.43449725983467
95,ZIP,630262450,630377934,1.0001832316045483,15749,38.16389795281997
96,ZIP,630262450,630377934,1.0001832316045483,15619,38.480919698434214
97,ZIP,630262450,630377934,1.0001832316045483,15700,38.28395695933537
98,ZIP,630262450,630377934,1.0001832316045483,15528,38.70796093803479
99,ZIP,630262450,630377934,1.0001832316045483,15626,38.463623456267776
100,ZIP,630262450,630377934,1.0001832316045483,15558,38.63332115752892
1,TAR.GZ,630262450,630379526,1.0001857575364042,18258,32.9192434818336
2,TAR.GZ,630262450,630379526,1.0001857575364042,18301,32.84291385859477
3,TAR.GZ,630262450,630379526,1.0001857575364042,18207,33.0127102492131
4,TAR.GZ,630262450,630379526,1.0001857575364042,18071,33.26065813835872
5,TAR.GZ,630262450,630379526,1.0001857575364042,18493,32.50076387042628
6,TAR.GZ,630262450,630379526,1.0001857575364042,18267,32.90323552757716
7,TAR.GZ,630262450,630379526,1.0001857575364042,18465,32.55095939565559
8,TAR.GZ,630262450,630379526,1.0001857575364042,18320,32.80892403212068
9,TAR.GZ,630262450,630379526,1.0001857575364042,18373,32.71399871542845
10,TAR.GZ,630262450,630379526,1.0001857575364042,18147,33.12136465243286
11,TAR.GZ,630262450,630379526,1.0001857575364042,18245,32.94360085736022
12,TAR.GZ,630262450,630379526,1.0001857575364042,18318,32.81116752844269
13,TAR.GZ,630262450,630379526,1.0001857575364042,18393,32.678382885519646
14,TAR.GZ,630262450,630379526,1.0001857575364042,18143,33.128625698941924
15,TAR.GZ,630262450,630379526,1.0001857575364042,18167,33.08543460126544
16,TAR.GZ,630262450,630379526,1.0001857575364042,18158,33.10188231136136
17,TAR.GZ,630262450,630379526,1.0001857575364042,18107,33.194105237238546
18,TAR.GZ,630262450,630379526,1.0001857575364042,18173,33.07393478528633
19,TAR.GZ,630262450,630379526,1.0001857575364042,18304,32.83761108617501
20,TAR.GZ,630262450,630379526,1.0001857575364042,18125,33.16072580985812
21,TAR.GZ,630262450,630379526,1.0001857575364042,18052,33.296004578226416
22,TAR.GZ,630262450,630379526,1.0001857575364042,18256,32.9229704405124
23,TAR.GZ,630262450,630379526,1.0001857575364042,18190,33.042543981014
24,TAR.GZ,630262450,630379526,1.0001857575364042,18072,33.2580175152031
25,TAR.GZ,630262450,630379526,1.0001857575364042,18134,33.14504739875443
26,TAR.GZ,630262450,630379526,1.0001857575364042,18304,32.83620200186458
27,TAR.GZ,630262450,630379526,1.0001857575364042,18176,33.06749947199225
28,TAR.GZ,630262450,630379526,1.0001857575364042,18478,32.52775812562694
29,TAR.GZ,630262450,630379526,1.0001857575364042,18223,32.983645280835205
30,TAR.GZ,630262450,630379526,1.0001857575364042,18185,33.051307971552674
31,TAR.GZ,630262450,630379526,1.0001857575364042,18120,33.16991203422013
32,TAR.GZ,630262450,630379526,1.0001857575364042,18301,32.84309145437991
33,TAR.GZ,630262450,630379526,1.0001857575364042,18132,33.14787481706546
34,TAR.GZ,630262450,630379526,1.0001857575364042,18457,32.564571865410926
35,TAR.GZ,630262450,630379526,1.0001857575364042,18186,33.05079752738762
36,TAR.GZ,630262450,630379526,1.0001857575364042,17988,33.41404865640411
37,TAR.GZ,630262450,630379526,1.0001857575364042,18162,33.09401711874025
38,TAR.GZ,630262450,630379526,1.0001857575364042,18580,32.35002597391124
39,TAR.GZ,630262450,630379526,1.0001857575364042,18147,33.121161530786566
40,TAR.GZ,630262450,630379526,1.0001857575364042,18195,33.033233345632674
41,TAR.GZ,630262450,630379526,1.0001857575364042,18110,33.188963333979785
42,TAR.GZ,630262450,630379526,1.0001857575364042,18176,33.068110679140034
43,TAR.GZ,630262450,630379526,1.0001857575364042,18347,32.7600936059483
44,TAR.GZ,630262450,630379526,1.0001857575364042,18181,33.05979593767238
45,TAR.GZ,630262450,630379526,1.0001857575364042,18510,32.47160082798936
46,TAR.GZ,630262450,630379526,1.0001857575364042,18289,32.864471341522204
47,TAR.GZ,630262450,630379526,1.0001857575364042,18479,32.525482734148014
48,TAR.GZ,630262450,630379526,1.0001857575364042,18216,32.995808238102775
49,TAR.GZ,630262450,630379526,1.0001857575364042,18211,33.00388602091247
50,TAR.GZ,630262450,630379526,1.0001857575364042,18034,33.327739422304916
51,TAR.GZ,630262450,630379526,1.0001857575364042,18066,33.27004666576324
52,TAR.GZ,630262450,630379526,1.0001857575364042,18117,33.175670946827736
53,TAR.GZ,630262450,630379526,1.0001857575364042,18044,33.31047263191984
54,TAR.GZ,630262450,630379526,1.0001857575364042,18168,33.083448400951276
55,TAR.GZ,630262450,630379526,1.0001857575364042,18205,33.0154184588226
56,TAR.GZ,630262450,630379526,1.0001857575364042,18246,32.94229040962578
57,TAR.GZ,630262450,630379526,1.0001857575364042,18328,32.79431250713628
58,TAR.GZ,630262450,630379526,1.0001857575364042,18269,32.899920323403435
59,TAR.GZ,630262450,630379526,1.0001857575364042,18213,33.00147685751815
60,TAR.GZ,630262450,630379526,1.0001857575364042,18191,33.040902187730275
61,TAR.GZ,630262450,630379526,1.0001857575364042,18138,33.13842355769422
62,TAR.GZ,630262450,630379526,1.0001857575364042,18263,32.910820326623714
63,TAR.GZ,630262450,630379526,1.0001857575364042,18109,33.191216226623595
64,TAR.GZ,630262450,630379526,1.0001857575364042,18179,33.06197979607099
65,TAR.GZ,630262450,630379526,1.0001857575364042,18154,33.109037487635824
66,TAR.GZ,630262450,630379526,1.0001857575364042,18232,32.96749207546552
67,TAR.GZ,630262450,630379526,1.0001857575364042,18511,32.46949797712809
68,TAR.GZ,630262450,630379526,1.0001857575364042,18319,32.81079121373867
69,TAR.GZ,630262450,630379526,1.0001857575364042,18062,33.276456076812266
70,TAR.GZ,630262450,630379526,1.0001857575364042,18202,33.020281344833116
71,TAR.GZ,630262450,630379526,1.0001857575364042,18141,33.13222063382821
72,TAR.GZ,630262450,630379526,1.0001857575364042,18149,33.117448932998826
73,TAR.GZ,630262450,630379526,1.0001857575364042,18123,33.16537736700675
74,TAR.GZ,630262450,630379526,1.0001857575364042,18187,33.048945960655956
75,TAR.GZ,630262450,630379526,1.0001857575364042,18309,32.828197275689085
76,TAR.GZ,630262450,630379526,1.0001857575364042,18354,32.748308654290895
77,TAR.GZ,630262450,630379526,1.0001857575364042,18167,33.08383111984572
78,TAR.GZ,630262450,630379526,1.0001857575364042,18276,32.88689878414059
79,TAR.GZ,630262450,630379526,1.0001857575364042,18229,32.972623629048414
80,TAR.GZ,630262450,630379526,1.0001857575364042,18139,33.13495338326971
81,TAR.GZ,630262450,630379526,1.0001857575364042,18143,33.12895107280398
82,TAR.GZ,630262450,630379526,1.0001857575364042,18049,33.301471694427384
83,TAR.GZ,630262450,630379526,1.0001857575364042,18018,33.35813436348664
84,TAR.GZ,630262450,630379526,1.0001857575364042,17912,33.556344408216006
85,TAR.GZ,630262450,630379526,1.0001857575364042,18042,33.31335665501747
86,TAR.GZ,630262450,630379526,1.0001857575364042,18125,33.16101145926419
87,TAR.GZ,630262450,630379526,1.0001857575364042,18031,33.33441379818445
88,TAR.GZ,630262450,630379526,1.0001857575364042,18005,33.381611191018926
89,TAR.GZ,630262450,630379526,1.0001857575364042,17987,33.415526242984896
90,TAR.GZ,630262450,630379526,1.0001857575364042,18310,32.82609310079575
91,TAR.GZ,630262450,630379526,1.0001857575364042,18056,33.28806819780458
92,TAR.GZ,630262450,630379526,1.0001857575364042,18062,33.27668582201202
93,TAR.GZ,630262450,630379526,1.0001857575364042,18006,33.38127320837552
94,TAR.GZ,630262450,630379526,1.0001857575364042,18214,32.99893568852843
95,TAR.GZ,630262450,630379526,1.0001857575364042,18145,33.125361462410005
96,TAR.GZ,630262450,630379526,1.0001857575364042,18847,31.891698907269948
97,TAR.GZ,630262450,630379526,1.0001857575364042,18841,31.901312991131675
98,TAR.GZ,630262450,630379526,1.0001857575364042,19465,30.87880466827094
99,TAR.GZ,630262450,630379526,1.0001857575364042,18547,32.40596749404755
100,TAR.GZ,630262450,630379526,1.0001857575364042,18712,32.12129225627892
1,ZSTD,630262450,630339693,1.0001225568808676,2518,238.62646114301234
2,ZSTD,630262450,630339693,1.0001225568808676,2346,256.1824726384577
3,ZSTD,630262450,630339693,1.0001225568808676,2353,255.39289225643765
4,ZSTD,630262450,630339693,1.0001225568808676,2297,261.5999105657974
5,ZSTD,630262450,630339693,1.0001225568808676,2291,262.2946424706289
6,ZSTD,630262450,630339693,1.0001225568808676,2275,264.19397831999214
7,ZSTD,630262450,630339693,1.0001225568808676,2302,261.05069900372166
8,ZSTD,630262450,630339693,1.0001225568808676,2312,259.91522842610516
9,ZSTD,630262450,630339693,1.0001225568808676,2311,260.0097305693592
10,ZSTD,630262450,630339693,1.0001225568808676,2350,255.678881064994
11,ZSTD,630262450,630339693,1.0001225568808676,2429,247.37363410427142
12,ZSTD,630262450,630339693,1.0001225568808676,2270,264.7236161165892
13,ZSTD,630262450,630339693,1.0001225568808676,2284,263.0486230383952
14,ZSTD,630262450,630339693,1.0001225568808676,2239,268.3649534057905
15,ZSTD,630262450,630339693,1.0001225568808676,2247,267.4669971390216
16,ZSTD,630262450,630339693,1.0001225568808676,2251,266.9891538985099
17,ZSTD,630262450,630339693,1.0001225568808676,2247,267.3874435164803
18,ZSTD,630262450,630339693,1.0001225568808676,2282,263.3426872966332
19,ZSTD,630262450,630339693,1.0001225568808676,2308,260.4064905466807
20,ZSTD,630262450,630339693,1.0001225568808676,2289,262.57846431759293
21,ZSTD,630262450,630339693,1.0001225568808676,2407,249.671656965079
22,ZSTD,630262450,630339693,1.0001225568808676,2431,247.24175760029178
23,ZSTD,630262450,630339693,1.0001225568808676,2360,254.58226611680368
24,ZSTD,630262450,630339693,1.0001225568808676,2326,258.38480422332896
25,ZSTD,630262450,630339693,1.0001225568808676,2340,256.84229490971063
26,ZSTD,630262450,630339693,1.0001225568808676,2340,256.75731227393055
27,ZSTD,630262450,630339693,1.0001225568808676,2395,250.86350695646937
28,ZSTD,630262450,630339693,1.0001225568808676,2343,256.43661235089445
29,ZSTD,630262450,630339693,1.0001225568808676,2314,259.6920868180733
30,ZSTD,630262450,630339693,1.0001225568808676,2388,251.61834961955594
31,ZSTD,630262450,630339693,1.0001225568808676,2393,251.1350737553504
32,ZSTD,630262450,630339693,1.0001225568808676,2332,257.72866100740447
33,ZSTD,630262450,630339693,1.0001225568808676,2339,256.91616537691266
34,ZSTD,630262450,630339693,1.0001225568808676,2328,258.15165431375164
35,ZSTD,630262450,630339693,1.0001225568808676,2389,251.58430270243602
36,ZSTD,630262450,630339693,1.0001225568808676,2339,256.9167254342165
37,ZSTD,630262450,630339693,1.0001225568808676,2287,262.8119121563478
38,ZSTD,630262450,630339693,1.0001225568808676,2387,251.727528677504
39,ZSTD,630262450,630339693,1.0001225568808676,2296,261.71570732154805
40,ZSTD,630262450,630339693,1.0001225568808676,2317,259.38819951453576
41,ZSTD,630262450,630339693,1.0001225568808676,2339,256.8814281482635
42,ZSTD,630262450,630339693,1.0001225568808676,2312,259.87473659118314
43,ZSTD,630262450,630339693,1.0001225568808676,2386,251.83105869941778
44,ZSTD,630262450,630339693,1.0001225568808676,2355,255.12751082099743
45,ZSTD,630262450,630339693,1.0001225568808676,2381,252.39672894230608
46,ZSTD,630262450,630339693,1.0001225568808676,2370,253.60670528210818
47,ZSTD,630262450,630339693,1.0001225568808676,2360,254.63150444581714
48,ZSTD,630262450,630339693,1.0001225568808676,2341,256.6610474434874
49,ZSTD,630262450,630339693,1.0001225568808676,2362,254.42569573896236
50,ZSTD,630262450,630339693,1.0001225568808676,2372,253.30612342605474
51,ZSTD,630262450,630339693,1.0001225568808676,2367,253.92351904454296
52,ZSTD,630262450,630339693,1.0001225568808676,2320,258.9738111818491
53,ZSTD,630262450,630339693,1.0001225568808676,2355,255.13404636078744
54,ZSTD,630262450,630339693,1.0001225568808676,2353,255.38145067247225
55,ZSTD,630262450,630339693,1.0001225568808676,2492,241.1525811472481
56,ZSTD,630262450,630339693,1.0001225568808676,2547,235.94502070540418
57,ZSTD,630262450,630339693,1.0001225568808676,2504,239.98041408207973
58,ZSTD,630262450,630339693,1.0001225568808676,2394,250.98496570760446
59,ZSTD,630262450,630339693,1.0001225568808676,2501,240.27166501779544
60,ZSTD,630262450,630339693,1.0001225568808676,2540,236.61364561976438
61,ZSTD,630262450,630339693,1.0001225568808676,2415,248.8316808637431
62,ZSTD,630262450,630339693,1.0001225568808676,2479,242.45256541783723
63,ZSTD,630262450,630339693,1.0001225568808676,2495,240.84287633605513
64,ZSTD,630262450,630339693,1.0001225568808676,2542,236.4355750521958
65,ZSTD,630262450,630339693,1.0001225568808676,2414,248.98675136891376
66,ZSTD,630262450,630339693,1.0001225568808676,2560,234.74523870203362
67,ZSTD,630262450,630339693,1.0001225568808676,2638,227.78996214441582
68,ZSTD,630262450,630339693,1.0001225568808676,2551,235.55507217011527
69,ZSTD,630262450,630339693,1.0001225568808676,2513,239.1132462686142
70,ZSTD,630262450,630339693,1.0001225568808676,2514,239.02800028602243
71,ZSTD,630262450,630339693,1.0001225568808676,2481,242.1902560370727
72,ZSTD,630262450,630339693,1.0001225568808676,2499,240.47471837471824
73,ZSTD,630262450,630339693,1.0001225568808676,2485,241.82836361561283
74,ZSTD,630262450,630339693,1.0001225568808676,2633,228.26994603918007
75,ZSTD,630262450,630339693,1.0001225568808676,2559,234.82616491653596
76,ZSTD,630262450,630339693,1.0001225568808676,2631,228.42356462587617
77,ZSTD,630262450,630339693,1.0001225568808676,2586,232.37115051479168
78,ZSTD,630262450,630339693,1.0001225568808676,2722,220.75639127501677
79,ZSTD,630262450,630339693,1.0001225568808676,2462,244.09157338215223
80,ZSTD,630262450,630339693,1.0001225568808676,2449,245.34151049898742
81,ZSTD,630262450,630339693,1.0001225568808676,2452,245.0364144025519
82,ZSTD,630262450,630339693,1.0001225568808676,2420,248.30197452230007
83,ZSTD,630262450,630339693,1.0001225568808676,2432,247.14733090324557
84,ZSTD,630262450,630339693,1.0001225568808676,2522,238.28709146025506
85,ZSTD,630262450,630339693,1.0001225568808676,2488,241.4979539013264
86,ZSTD,630262450,630339693,1.0001225568808676,2482,242.10432052341866
87,ZSTD,630262450,630339693,1.0001225568808676,2482,242.08649179317533
88,ZSTD,630262450,630339693,1.0001225568808676,2528,237.74959221918027
89,ZSTD,630262450,630339693,1.0001225568808676,2707,221.97003833170098
90,ZSTD,630262450,630339693,1.0001225568808676,2491,241.2610557333139
91,ZSTD,630262450,630339693,1.0001225568808676,2482,242.14598043651893
92,ZSTD,630262450,630339693,1.0001225568808676,2523,238.2271944049038
93,ZSTD,630262450,630339693,1.0001225568808676,2460,244.29088306900996
94,ZSTD,630262450,630339693,1.0001225568808676,2462,244.04676988239734
95,ZSTD,630262450,630339693,1.0001225568808676,2573,233.60261269000088
96,ZSTD,630262450,630339693,1.0001225568808676,2470,243.29242344331655
97,ZSTD,630262450,630339693,1.0001225568808676,2415,248.80305606280535
98,ZSTD,630262450,630339693,1.0001225568808676,2436,246.65238908680223
99,ZSTD,630262450,630339693,1.0001225568808676,2396,250.80247332292504
100,ZSTD,630262450,630339693,1.0001225568808676,2632,228.35511654998604
1,XZ,630262450,630355064,1.0001469451337297,354764,1.6942627242316741
2,XZ,630262450,630355064,1.0001469451337297,351441,1.7102826178542099
3,XZ,630262450,630355064,1.0001469451337297,352376,1.7057462411548732
4,XZ,630262450,630355064,1.0001469451337297,352548,1.7049136981414446
5,XZ,630262450,630355064,1.0001469451337297,349926,1.717688767862894
6,XZ,630262450,630355064,1.0001469451337297,353630,1.6996970985244462
7,XZ,630262450,630355064,1.0001469451337297,352493,1.705182945652957
8,XZ,630262450,630355064,1.0001469451337297,352039,1.707377382150582
9,XZ,630262450,630355064,1.0001469451337297,351262,1.7111566981489579
10,XZ,630262450,630355064,1.0001469451337297,344773,1.7433605231234472
11,XZ,630262450,630355064,1.0001469451337297,357980,1.6790426256166695
12,XZ,630262450,630355064,1.0001469451337297,349912,1.7177601355579726
13,XZ,630262450,630355064,1.0001469451337297,356753,1.6848172706992026
14,XZ,630262450,630355064,1.0001469451337297,353519,1.700233583984801
15,XZ,630262450,630355064,1.0001469451337297,352216,1.7065196427848854
16,XZ,630262450,630355064,1.0001469451337297,356626,1.6854182215629157
17,XZ,630262450,630355064,1.0001469451337297,349264,1.720945519196659
18,XZ,630262450,630355064,1.0001469451337297,353043,1.7025227976696542
19,XZ,630262450,630355064,1.0001469451337297,352455,1.705364857783469
20,XZ,630262450,630355064,1.0001469451337297,354327,1.6963524579487386
21,XZ,630262450,630355064,1.0001469451337297,352709,1.7041375968621504
22,XZ,630262450,630355064,1.0001469451337297,355701,1.6898014604763838
23,XZ,630262450,630355064,1.0001469451337297,353906,1.69837046435743
24,XZ,630262450,630355064,1.0001469451337297,356973,1.6837787420374275
25,XZ,630262450,630355064,1.0001469451337297,348754,1.723461601502721
26,XZ,630262450,630355064,1.0001469451337297,353117,1.7021677220491866
27,XZ,630262450,630355064,1.0001469451337297,352883,1.7032966826162215
28,XZ,630262450,630355064,1.0001469451337297,356798,1.6846086365989907
29,XZ,630262450,630355064,1.0001469451337297,352541,1.704946442697843
30,XZ,630262450,630355064,1.0001469451337297,356946,1.6839073360976655
31,XZ,630262450,630355064,1.0001469451337297,346321,1.7355685878240326
32,XZ,630262450,630355064,1.0001469451337297,354101,1.6974393224315385
33,XZ,630262450,630355064,1.0001469451337297,351655,1.709243084485718
34,XZ,630262450,630355064,1.0001469451337297,354836,1.693921112774971
35,XZ,630262450,630355064,1.0001469451337297,352579,1.704765977940371
36,XZ,630262450,630355064,1.0001469451337297,355196,1.6922031864647324
37,XZ,630262450,630355064,1.0001469451337297,353593,1.6998784035472019
38,XZ,630262450,630355064,1.0001469451337297,358104,1.6784638927343785
39,XZ,630262450,630355064,1.0001469451337297,352462,1.7053296910404872
40,XZ,630262450,630355064,1.0001469451337297,360632,1.6666979621961255
41,XZ,630262450,630355064,1.0001469451337297,356153,1.6876560405549514
42,XZ,630262450,630355064,1.0001469451337297,355175,1.6923067314262459
43,XZ,630262450,630355064,1.0001469451337297,351236,1.7112828590925198
44,XZ,630262450,630355064,1.0001469451337297,356833,1.6844411092107012
45,XZ,630262450,630355064,1.0001469451337297,355537,1.6905804471192112
46,XZ,630262450,630355064,1.0001469451337297,358919,1.674649324860189
47,XZ,630262450,630355064,1.0001469451337297,356755,1.6848106399471134
48,XZ,630262450,630355064,1.0001469451337297,357896,1.6794406938430413
49,XZ,630262450,630355064,1.0001469451337297,352634,1.7044990068634442
50,XZ,630262450,630355064,1.0001469451337297,358614,1.6760762627368655
51,XZ,630262450,630355064,1.0001469451337297,356506,1.685985461009515
52,XZ,630262450,630355064,1.0001469451337297,361552,1.6624555034796964
53,XZ,630262450,630355064,1.0001469451337297,358058,1.6786772224697275
54,XZ,630262450,630355064,1.0001469451337297,356717,1.6849895040616298
55,XZ,630262450,630355064,1.0001469451337297,353714,1.6992959834642871
56,XZ,630262450,630355064,1.0001469451337297,357767,1.6800447473986193
57,XZ,630262450,630355064,1.0001469451337297,353199,1.701773249650685
58,XZ,630262450,630355064,1.0001469451337297,355698,1.6898170912371935
59,XZ,630262450,630355064,1.0001469451337297,350627,1.7142562235593097
60,XZ,630262450,630355064,1.0001469451337297,349779,1.7184119227441104
61,XZ,630262450,630355064,1.0001469451337297,348178,1.7263139134391599
62,XZ,630262450,630355064,1.0001469451337297,351698,1.7090361336960964
63,XZ,630262450,630355064,1.0001469451337297,350157,1.7165559863072304
64,XZ,630262450,630355064,1.0001469451337297,352118,1.7069986375176303
65,XZ,630262450,630355064,1.0001469451337297,331699,1.8120752718159336
66,XZ,630262450,630355064,1.0001469451337297,328695,1.8286396623915642
67,XZ,630262450,630355064,1.0001469451337297,326370,1.8416662250390643
68,XZ,630262450,630355064,1.0001469451337297,325705,1.845424822629806
69,XZ,630262450,630355064,1.0001469451337297,325670,1.8456210452042485
70,XZ,630262450,630355064,1.0001469451337297,329112,1.8263237463549153
71,XZ,630262450,630355064,1.0001469451337297,327069,1.8377295842797652
72,XZ,630262450,630355064,1.0001469451337297,328897,1.8275140883877858
73,XZ,630262450,630355064,1.0001469451337297,326297,1.8420754312116858
74,XZ,630262450,630355064,1.0001469451337297,329695,1.8230892913652388
75,XZ,630262450,630355064,1.0001469451337297,326964,1.8383182280433845
76,XZ,630262450,630355064,1.0001469451337297,329515,1.8240879296067174
77,XZ,630262450,630355064,1.0001469451337297,323910,1.8556524971923645
78,XZ,630262450,630355064,1.0001469451337297,327760,1.8338549588131159
79,XZ,630262450,630355064,1.0001469451337297,326600,1.8403694931962236
80,XZ,630262450,630355064,1.0001469451337297,329495,1.82419580429633
81,XZ,630262450,630355064,1.0001469451337297,326258,1.8422983523580911
82,XZ,630262450,630355064,1.0001469451337297,331673,1.8122207479996337
83,XZ,630262450,630355064,1.0001469451337297,328715,1.8285281259935038
84,XZ,630262450,630355064,1.0001469451337297,329238,1.8256233239189894
85,XZ,630262450,630355064,1.0001469451337297,326426,1.8413517496976013
86,XZ,630262450,630355064,1.0001469451337297,328830,1.8278885980469615
